,age,job,marital,education,default,housing,loan,contact,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,subscription,season
0,30,1,1,2,0,1,0,0,0,487,2,999,0,1,-1.8,92.893,-46.2,1.313,0,1
1,39,7,2,3,0,0,0,1,0,346,4,999,0,1,1.1,93.994,-36.4,4.855,0,1
2,25,7,1,3,0,1,0,1,4,227,1,999,0,1,1.4,94.465,-41.8,4.962,0,2
4,47,0,1,6,0,1,0,0,1,58,1,999,0,1,-0.1,93.2,-42.0,4.191,0,0
5,32,7,2,6,0,0,0,0,2,128,3,999,2,0,-1.1,94.199,-37.5,0.884,0,0
6,32,0,2,6,0,1,0,0,1,290,4,999,0,1,-1.1,94.199,-37.5,0.879,0,0
8,31,7,0,5,0,0,0,0,3,68,1,999,1,0,-0.1,93.2,-42.0,4.153,0,0
11,36,6,2,0,0,0,0,0,2,148,1,999,0,1,1.4,93.918,-42.7,4.968,0,2
12,36,0,1,3,0,0,0,1,4,97,2,999,0,1,1.1,93.994,-36.4,4.859,0,1
13,47,1,1,0,0,1,0,1,2,211,2,999,0,1,1.4,94.465,-41.8,4.958,0,2
14,29,0,2,3,0,0,0,0,0,553,2,999,0,1,-1.8,92.893,-46.2,1.313,0,1
15,27,7,2,6,0,0,0,0,4,698,2,999,0,1,1.4,93.918,-42.7,4.963,0,2
16,44,0,0,6,0,0,0,0,4,191,6,999,0,1,1.4,93.918,-42.7,4.957,0,2
17,46,0,0,6,0,1,0,1,1,59,4,999,0,1,1.4,93.918,-42.7,4.962,0,2
19,50,1,1,0,0,0,1,0,3,849,1,999,0,1,1.4,93.918,-42.7,4.961,1,2
21,39,9,0,3,0,0,0,0,1,222,1,12,2,2,-1.8,93.369,-34.8,0.639,1,1
22,29,9,2,6,0,1,1,0,4,626,3,999,0,1,1.4,93.444,-36.1,4.967,0,2
23,40,4,1,3,0,0,1,0,4,119,1,999,0,1,1.4,93.444,-36.1,4.965,0,2
25,38,9,1,5,0,1,0,0,1,479,1,999,0,1,1.4,93.444,-36.1,4.965,1,2
26,36,9,0,5,0,0,0,1,4,446,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
29,34,0,1,6,0,0,0,0,3,109,1,999,0,1,1.4,93.444,-36.1,4.963,0,2
30,38,9,1,6,0,1,1,0,3,113,1,999,1,0,-1.8,92.843,-50.0,1.687,0,1
32,51,9,2,6,0,0,0,0,0,151,2,999,0,1,-2.9,92.963,-40.8,1.268,0,2
34,48,9,1,6,0,0,0,0,2,42,7,999,0,1,1.4,93.444,-36.1,4.962,0,2
35,28,1,2,2,0,1,0,1,4,525,1,999,0,1,1.4,94.465,-41.8,4.864,0,2
36,36,1,1,1,0,1,0,1,4,57,1,999,0,1,1.1,93.994,-36.4,4.859,0,1
37,46,4,0,3,0,0,0,0,4,499,1,999,0,1,-0.1,93.2,-42.0,4.12,0,0
42,76,5,1,6,0,0,0,0,2,126,1,999,1,0,-1.7,94.027,-38.3,0.899,0,2
43,45,2,0,5,0,1,0,0,3,211,3,999,0,1,1.4,93.918,-42.7,4.961,0,2
44,32,3,1,0,0,1,1,0,0,340,1,999,0,1,-1.8,92.893,-46.2,1.313,0,1
46,32,0,1,6,0,0,0,1,2,132,1,999,0,1,-0.1,93.2,-42.0,4.592,0,0
47,29,0,2,2,0,0,0,0,1,79,2,999,0,1,-1.8,92.893,-46.2,1.299,0,1
48,44,7,1,5,0,0,0,0,1,341,2,999,0,1,1.4,93.444,-36.1,4.97,0,2
49,32,7,1,3,0,0,1,0,0,157,3,999,0,1,1.4,93.918,-42.7,4.957,0,2
50,56,5,1,6,0,1,0,0,4,252,1,999,2,0,-2.9,92.963,-40.8,1.26,0,2
51,33,1,1,2,0,1,0,0,2,263,1,999,0,1,-1.8,92.893,-46.2,1.327,0,1
52,39,4,1,3,0,0,0,0,0,215,3,999,0,1,1.4,93.444,-36.1,4.966,0,2
53,24,9,1,6,0,1,1,0,3,89,2,3,1,2,-3.4,92.379,-29.8,0.77,1,0
54,33,0,2,6,0,1,0,0,2,143,1,999,0,1,-1.8,92.893,-46.2,1.327,0,1
55,58,2,0,6,0,0,0,1,2,40,2,999,0,1,1.4,94.465,-41.8,4.866,0,2
56,29,0,2,6,0,1,0,1,0,10,27,999,0,1,1.4,94.465,-41.8,4.959,0,2
57,31,0,1,6,0,1,0,0,2,113,1,999,0,1,1.4,93.444,-36.1,4.964,0,2
58,27,0,1,6,0,0,0,1,4,191,5,999,0,1,1.1,93.994,-36.4,4.857,0,1
59,60,0,0,5,0,1,0,0,4,481,1,999,1,0,-1.1,94.199,-37.5,0.886,1,0
60,55,2,1,5,0,1,1,0,1,233,1,999,2,0,-3.4,92.431,-26.9,0.739,0,0
61,37,1,1,2,0,1,0,0,4,204,2,999,0,1,-1.8,92.893,-46.2,1.334,0,1
63,46,7,1,3,0,1,0,0,1,180,1,999,0,1,-1.8,93.075,-47.1,1.405,0,1
64,42,1,0,1,0,1,0,0,4,16,2,999,0,1,-1.8,92.893,-46.2,1.281,0,1
65,35,0,2,6,0,1,0,0,1,447,3,999,0,1,1.4,93.918,-42.7,4.96,0,2
